Molecule,Replicate,Ext_Reference,Area,Ratio_To_Standard,Amount ng/ml,Amount nmol/mL,Amount nmol/well,Amount nmol/1e6 cells seeded,Cells,Incubation_Time,Dose_Level,Dose_uM,Dose_IC,Dose_nmol/well
Diclofenac,14703179,DICLO_MZ_0h_P34_B1_D1,799100,0.098,179.5115,0.564324112,0.169297234,1.692972336,cells,0,1,50,IC01,25
Diclofenac,14703180,DICLO_MZ_0h_P34_C1_D2,6053718,0.76,1403.7576,4.412944357,1.323883307,13.23883307,cells,0,2,320,IC50,160
Diclofenac,14703181,DICLO_MZ_0h_P34_D1_D3,7526017,0.9255,1714.7716,5.390668343,1.617200503,16.17200503,cells,0,3,1000,IC85,500
Diclofenac,14703018,DICLO_OZ_48h_P02_A6_VC,6217,0.0008,2.1114,0.006637535,0.001991261,0.019912606,no cells,48,C,0,Control,0
Diclofenac,14703019,DICLO_OZ_48h_P02_B6_D1,177742,0.022,41.1165,0.129256523,0.038776957,0.387769569,no cells,48,1,50,IC01,25
Diclofenac,14703020,DICLO_OZ_48h_P02_C6_D2,1660124,0.2062,381.1636,1.198250865,0.359475259,3.594752594,no cells,48,2,320,IC50,160
Diclofenac,14703021,DICLO_OZ_48h_P02_D6_D3,2203822,0.2761,510.8519,1.605947501,0.48178425,4.817842502,no cells,48,3,1000,IC85,500
Diclofenac,14703022,DICLO_OZ_24h_P10_A6_VC,5339,0.0007,1.9028,0.005981767,0.00179453,0.0179453,no cells,24,C,0,Control,0
Diclofenac,14703023,DICLO_OZ_24h_P10_B6_D1,88136,0.011,20.8202,0.065451745,0.019635523,0.196355234,no cells,24,1,50,IC01,25
Diclofenac,14703024,DICLO_OZ_24h_P10_C6_D2,546631,0.0691,127.7787,0.401693493,0.120508048,1.205080478,no cells,24,2,320,IC50,160
Diclofenac,14703025,DICLO_OZ_24h_P10_D6_D3,1133904,0.1459,269.5453,0.847360264,0.254208079,2.542080792,no cells,24,3,1000,IC85,500
Diclofenac,14703026,DICLO_OZ_6h_P18_A6_VC,4376,0.0005,1.6838,0.005293304,0.001587991,0.015879912,no cells,6,C,0,Control,0
Diclofenac,14703027,DICLO_OZ_6h_P18_B6_D1,132221,0.0165,30.9808,0.097393273,0.029217982,0.292179818,no cells,6,1,50,IC01,25
Diclofenac,14703028,DICLO_OZ_6h_P18_C6_D2,935015,0.118,218.1306,0.685729645,0.205718893,2.057188934,no cells,6,2,320,IC50,160
Diclofenac,14703029,DICLO_OZ_6h_P18_D6_D3,1563464,0.1947,359.9051,1.131421251,0.339426375,3.394263754,no cells,6,3,1000,IC85,500
Diclofenac,14703030,DICLO_OZ_48h_P02_A5_VC,23548,0.003,6.1286,0.019266268,0.005779881,0.057798805,no cells,48,C,0,Control,0
