"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","data4modelReal"
"220","GSH",4,"DIC",4,12,4,4,0.977841037152034
"221","GSH",4,"DIC",5,24,4,4,0.943751979812259
"222","GSH",4,"DIC",6,36,4,4,0.992056061361172
"223","GSH",4,"DIC",7,48,4,4,0.990641477808625
"224","GSH",4,"DIC",8,60,4,4,1.03946951812313
"225","GSH",4,"DIC",1,0,8,8,1.03047720499069
"226","GSH",4,"DIC",2,3,8,8,1.09964954510171
"227","GSH",4,"DIC",3,6,8,8,0.999143427938509
"228","GSH",4,"DIC",4,12,8,8,1.01678202032341
"229","GSH",4,"DIC",5,24,8,8,0.980810523701199
"230","GSH",4,"DIC",6,36,8,8,1.01530911250452
"231","GSH",4,"DIC",7,48,8,8,1.01055553662261
"232","GSH",4,"DIC",8,60,8,8,1.03016393302321
"233","GSH",4,"DIC",1,0,16,16,1.06159918100565
"234","GSH",4,"DIC",2,3,16,16,1.12311551849229
"235","GSH",4,"DIC",3,6,16,16,1.00718236549772
"236","GSH",4,"DIC",4,12,16,16,1.02184615967599
"237","GSH",4,"DIC",5,24,16,16,0.951533384023403
"238","GSH",4,"DIC",6,36,16,16,1.08598010114069
"239","GSH",4,"DIC",7,48,16,16,1.00326343697203
"240","GSH",4,"DIC",8,60,16,16,1.05854077346301
"241","GSH",4,"DIC",1,0,32,32,0.977462650281908
"242","GSH",4,"DIC",2,3,32,32,1.11913381405682
"243","GSH",4,"DIC",3,6,32,32,1.02091820343335
"244","GSH",4,"DIC",4,12,32,32,1.03027154669415
"245","GSH",4,"DIC",5,24,32,32,1.03178737176836
"246","GSH",4,"DIC",6,36,32,32,1.07967886567922
"247","GSH",4,"DIC",7,48,32,32,1.0538531978938
"248","GSH",4,"DIC",8,60,32,32,1.10688285936554
"249","GSH",4,"DIC",1,0,64,64,0.962934544957729
"250","GSH",4,"DIC",2,3,64,64,1.06521910310447
"251","GSH",4,"DIC",3,6,64,64,1.07813379166698
"252","GSH",4,"DIC",4,12,64,64,1.1781421555541
"253","GSH",4,"DIC",5,24,64,64,1.18325209566962
"254","GSH",4,"DIC",6,36,64,64,1.17697887822247
"255","GSH",4,"DIC",7,48,64,64,1.14031806050634
"256","GSH",4,"DIC",8,60,64,64,1.27312191619884
"257","GSH",4,"DIC",1,0,125,125,0.981695637584605
"258","GSH",4,"DIC",2,3,125,125,1.09829835868616
"259","GSH",4,"DIC",3,6,125,125,1.2736079880494
"260","GSH",4,"DIC",4,12,125,125,1.2902280865349
"261","GSH",4,"DIC",5,24,125,125,1.2108571587902
"262","GSH",4,"DIC",6,36,125,125,1.23818391016318
"263","GSH",4,"DIC",7,48,125,125,1.20113302857406
"264","GSH",4,"DIC",8,60,125,125,1.26328967651349
"265","GSH",4,"DIC",1,0,250,250,0.949536172995689
"266","GSH",4,"DIC",2,3,250,250,1.12389244029084
"267","GSH",4,"DIC",3,6,250,250,1.22061938459387
"268","GSH",4,"DIC",4,12,250,250,1.51757676445245
"269","GSH",4,"DIC",5,24,250,250,1.36232258627012
"270","GSH",4,"DIC",6,36,250,250,1.41507693314299
"271","GSH",4,"DIC",7,48,250,250,1.25920309784018
"272","GSH",4,"DIC",8,60,250,250,1.36043096549091
"273","GSH",4,"DIC",1,0,500,500,0.981587138643755
"274","GSH",4,"DIC",2,3,500,500,1.03815955731401
"275","GSH",4,"DIC",3,6,500,500,1.06768412894145
"276","GSH",4,"DIC",4,12,500,500,1.34952088906812
"277","GSH",4,"DIC",5,24,500,500,1.44383479327342
"278","GSH",4,"DIC",6,36,500,500,1.73678057788267
"279","GSH",4,"DIC",7,48,500,500,1.44319774260063
"280","GSH",4,"DIC",8,60,500,500,1.79326004443132
"281","GSH",4,"DIC",1,0,1000,1000,0.919041585298648
"282","GSH",4,"DIC",2,3,1000,1000,0.946959263751587
"283","GSH",4,"DIC",3,6,1000,1000,1.10763628425956
"284","GSH",4,"DIC",4,12,1000,1000,1.2780586675621
"285","GSH",4,"DIC",5,24,1000,1000,0.64944902250043
"286","GSH",4,"DIC",6,36,1000,1000,1.07257797918728
"287","GSH",4,"DIC",7,48,1000,1000,0.376585488098486
"288","GSH",4,"DIC",8,60,1000,1000,0.371747499388155
