treatment,variable,dose_uM,dose_level,time,Mean,SD
DIC,Resazurin,32,4,48,98.47333333,2.95014124
DIC,Resazurin,64,5,48,102.6466667,2.067760463
DIC,Resazurin,125,6,48,105.14,1.177412417
DIC,Resazurin,250,7,48,97.09666667,6.441198129
DIC,Resazurin,500,8,48,60.75,4.01418734
DIC,Resazurin,1000,9,48,16.40333333,6.053596727
DIC,Resazurin,0,0,60,100,0
DIC,Resazurin,4,1,60,98.66,1.813642743
DIC,Resazurin,8,2,60,97.96,2.222903507
DIC,Resazurin,16,3,60,100.7666667,2.044806429
DIC,Resazurin,32,4,60,105.1633333,2.270117471
DIC,Resazurin,64,5,60,104.5066667,1.30270232
DIC,Resazurin,125,6,60,103.4466667,4.476989316
DIC,Resazurin,250,7,60,96.84,12.43945738
DIC,Resazurin,500,8,60,65.79,4.680288453
DIC,Resazurin,1000,9,60,13.02333333,5.015100531
