"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","data4modelReal"
"134","GSH",2,"KET",6,36,50,50,1.55286990198142
"135","GSH",2,"KET",7,48,50,50,1.33028888952488
"136","GSH",2,"KET",8,60,50,50,1.47615391770067
"137","GSH",2,"KET",1,0,100,100,1.00307469634755
"138","GSH",2,"KET",2,3,100,100,0.985847176025153
"139","GSH",2,"KET",3,6,100,100,1.01601368398225
"140","GSH",2,"KET",4,12,100,100,1.07914719886958
"141","GSH",2,"KET",5,24,100,100,1.44342626111122
"142","GSH",2,"KET",6,36,100,100,1.57423890300751
"143","GSH",2,"KET",7,48,100,100,1.27019975770497
"144","GSH",2,"KET",8,60,100,100,1.30103990641481
"145","GSH",3,"KET",1,0,0.375,0.375,1.07048004879843
"146","GSH",3,"KET",2,3,0.375,0.375,1.03124091034028
"147","GSH",3,"KET",3,6,0.375,0.375,0.99399655066262
"148","GSH",3,"KET",4,12,0.375,0.375,0.977742118609832
"149","GSH",3,"KET",5,24,0.375,0.375,0.957430708182198
"150","GSH",3,"KET",6,36,0.375,0.375,0.965154490516196
"151","GSH",3,"KET",7,48,0.375,0.375,0.968161145342107
"152","GSH",3,"KET",8,60,0.375,0.375,0.971853068519853
"153","GSH",3,"KET",1,0,0.75,0.75,1.0007084142283
"154","GSH",3,"KET",2,3,0.75,0.75,1.07700150965319
"155","GSH",3,"KET",3,6,0.75,0.75,1.01648985375385
"156","GSH",3,"KET",4,12,0.75,0.75,1.00927069264764
"157","GSH",3,"KET",5,24,0.75,0.75,1.00619600277396
"158","GSH",3,"KET",6,36,0.75,0.75,1.04991758646906
"159","GSH",3,"KET",7,48,0.75,0.75,1.01817192136793
"160","GSH",3,"KET",8,60,0.75,0.75,0.990397013520217
"161","GSH",3,"KET",1,0,1.5,1.5,0.987689351193562
"162","GSH",3,"KET",2,3,1.5,1.5,1.05190808784367
"163","GSH",3,"KET",3,6,1.5,1.5,0.960408521486698
"164","GSH",3,"KET",4,12,1.5,1.5,1.01846140162517
"165","GSH",3,"KET",5,24,1.5,1.5,1.04977143892491
"166","GSH",3,"KET",6,36,1.5,1.5,1.01935816135086
